ActiveCPUs=8
ActivityWasReset=True
Actor1Class=AHuman
Actor1Item1Class=HDFirearm
Actor1Item1Preset=M16
Actor1Item2Class=HDFirearm
Actor1Item2Preset=Uzi
Actor1Preset=Silver Man
BlackMarketStation Ypsilon-2Item1Faction=Techion
BlackMarketStation Ypsilon-2Item1Index=15
BlackMarketStation Ypsilon-2Item20Faction=Coalition
BlackMarketStation Ypsilon-2Item20Index=23
BlackMarketStation Ypsilon-2Item21Faction=Coalition
BlackMarketStation Ypsilon-2Item21Index=24
BlackMarketStation Ypsilon-2Item22Faction=Imperatus
BlackMarketStation Ypsilon-2Item22Index=11
BlackMarketStation Ypsilon-2Item23Faction=Imperatus
BlackMarketStation Ypsilon-2Item23Index=12
BlackMarketStation Ypsilon-2Item24Faction=Imperatus
BlackMarketStation Ypsilon-2Item24Index=13
BlackMarketStation Ypsilon-2Item25Faction=Imperatus
BlackMarketStation Ypsilon-2Item25Index=14
BlackMarketStation Ypsilon-2Item26Faction=Imperatus
BlackMarketStation Ypsilon-2Item26Index=15
BlackMarketStation Ypsilon-2Item27Faction=Psyclones
BlackMarketStation Ypsilon-2Item27Index=7
BlackMarketStation Ypsilon-2Item28Faction=Psyclones
BlackMarketStation Ypsilon-2Item28Index=10
BlackMarketStation Ypsilon-2Item29Faction=Psyclones
BlackMarketStation Ypsilon-2Item29Index=15
BlackMarketStation Ypsilon-2Item2Faction=Techion
BlackMarketStation Ypsilon-2Item2Index=16
BlackMarketStation Ypsilon-2Item30Faction=Psyclones
BlackMarketStation Ypsilon-2Item30Index=16
BlackMarketStation Ypsilon-2Item31Faction=Psyclones
BlackMarketStation Ypsilon-2Item31Index=17
BlackMarketStation Ypsilon-2Item32Faction=Bears Federation
BlackMarketStation Ypsilon-2Item32Index=13
BlackMarketStation Ypsilon-2Item33Faction=Bears Federation
BlackMarketStation Ypsilon-2Item33Index=14
BlackMarketStation Ypsilon-2Item3Faction=Browncoats
BlackMarketStation Ypsilon-2Item3Index=3
BlackMarketStation Ypsilon-2Item4Faction=Coalition
BlackMarketStation Ypsilon-2Item4Index=19
BlackMarketStation Ypsilon-2Item5Faction=Coalition
BlackMarketStation Ypsilon-2Item5Index=21
BlackMarketStation Ypsilon-2Item6Faction=Psyclones
BlackMarketStation Ypsilon-2Item6Index=16
BlackMarketStation Ypsilon-2Item7Faction=Psyclones
BlackMarketStation Ypsilon-2Item7Index=17
BlackMarketStation Ypsilon-2Item8Faction=Browncoats
BlackMarketStation Ypsilon-2Item8Index=17
BlackMarketStation Ypsilon-2Item9Faction=Browncoats
BlackMarketStation Ypsilon-2Item9Index=18
BlackMarketStation Ypsilon-2ItemCount=7
BlackMarketStation Ypsilon-2ItemsLastRefresh=38741
BlackMarketStation Ypsilon-2LastRefresh=37972
Burraki Desert-Fog0=1111111111111111111111111111
Burraki Desert-Fog1=1111111111111111111111111111
Burraki Desert-Fog10=0000000000000000000000000000
Burraki Desert-Fog2=1111111111111111111111111111
Burraki Desert-Fog3=1111111111111111111111111111
Burraki Desert-Fog4=1111111111111111111111111111
Burraki Desert-Fog5=1111111111111111111111111111
Burraki Desert-Fog6=0000000001111111111111111111
Burraki Desert-Fog7=0000000000000000000000000000
Burraki Desert-Fog8=0000000000000000000000000000
Burraki Desert-Fog9=0000000000000000000000000000
Burraki Desert-FogRevealPercentage=60
ClonesStorage1Class=AHuman
ClonesStorage1Item1Class=HDFirearm
ClonesStorage1Item1Preset=XM-10 Submachine Gun
ClonesStorage1Item2Class=HDFirearm
ClonesStorage1Item2Preset=Repeater
ClonesStorage1Preset=Psyclone Light
ClonesStorage2Class=AHuman
ClonesStorage2Preset=Silver Man
Cold Slabs-Fog0=000111111111111111111100000
Cold Slabs-Fog1=000111111111111111111100000
Cold Slabs-Fog10=111111111100000000000000000
Cold Slabs-Fog2=111111111111111111111111111
Cold Slabs-Fog3=111111111111111111111111111
Cold Slabs-Fog4=111111111111111111111111111
Cold Slabs-Fog5=111111111111111111111111111
Cold Slabs-Fog6=111111111111111111111111111
Cold Slabs-Fog7=111111111111111111111111111
Cold Slabs-Fog8=111111111111111111111111111
Cold Slabs-Fog9=111111111111000000000000001
Cold Slabs-FogRevealPercentage=84
Command-Fog0=111111111111111111111111111111111111
Command-Fog1=111111111111111111111111111111111111
Command-Fog10=000000000000000000000001111100000000
Command-Fog2=111111111111111111111111111111111111
Command-Fog3=111111111111111111111111111111111111
Command-Fog4=111111111111111111111111111111111111
Command-Fog5=111111111111111111111111111111111111
Command-Fog6=111111111111111111111111111111111111
Command-Fog7=111111111111111111111111111111111111
Command-Fog8=000000000111111111111111111111111000
Command-Fog9=000000000011111111111111111110000000
Command-FogRevealPercentage=84
DestX=45
DestY=-24
Distance=1.1303439901246
Dry Flats-Fog0=000000000000000000000000000
Dry Flats-Fog1=000000000000000000000000000
Dry Flats-Fog10=111100000000000000000000000
Dry Flats-Fog2=000000000000000000000000000
Dry Flats-Fog3=111110011111100000000111110
Dry Flats-Fog4=111111111111111111001111110
Dry Flats-Fog5=111111111111111111111111111
Dry Flats-Fog6=111111111111111111111111111
Dry Flats-Fog7=111111111111111111111111111
Dry Flats-Fog8=111111111111111111111111111
Dry Flats-Fog9=111110000000000000000000100
Dry Flats-FogRevealPercentage=53
Dvorak Caves-Fog0=1111111111111111111111111111111111
Dvorak Caves-Fog1=1111111111111111111111111111111111
Dvorak Caves-Fog10=0000011111111111111111111000011111
Dvorak Caves-Fog11=0000011111111111111111111000011111
Dvorak Caves-Fog12=1100111111111111111111111100111111
Dvorak Caves-Fog13=1111111111111111111111111111111111
Dvorak Caves-Fog14=1111111111111111111111111111111111
Dvorak Caves-Fog15=1111111111111111111111111111111111
Dvorak Caves-Fog16=1111111111111111111111111111111111
Dvorak Caves-Fog17=1111111111111111111111111111111111
Dvorak Caves-Fog18=1111111111000011111111111111111100
Dvorak Caves-Fog2=1111111111111111111111111111111111
Dvorak Caves-Fog3=1111111111111111111111111111111111
Dvorak Caves-Fog4=1111111111111111111111111111111111
Dvorak Caves-Fog5=1111111111111111111111111111111111
Dvorak Caves-Fog6=1111111111111111111111111111111111
Dvorak Caves-Fog7=1111111111111111111111111111111111
Dvorak Caves-Fog8=1111111111111111111111111111111111
Dvorak Caves-Fog9=1100111111111111111111111100111111
Dvorak Caves-FogRevealPercentage=95
Fredeleig Plains-Fog0=1111111111111111111111111111
Fredeleig Plains-Fog1=1111111111111111111111111111
Fredeleig Plains-Fog2=1111111111111111111111111111
Fredeleig Plains-Fog3=1111111111111111111111111111
Fredeleig Plains-Fog4=1111111111111111111111111111
Fredeleig Plains-Fog5=1111111111111111111111111111
Fredeleig Plains-Fog6=1111110000000000000111111111
Fredeleig Plains-Fog7=0000000000000000000000000000
Fredeleig Plains-Fog8=0000000000000000000000000000
Fredeleig Plains-Fog9=0000000000000000000000000000
Fredeleig Plains-FogRevealPercentage=65
Glacier-Fog0=111111111111111111111111111
Glacier-Fog1=111111111111111111111111111
Glacier-Fog10=000000000000000000001111100
Glacier-Fog2=111111111111111111111111111
Glacier-Fog3=111111111111111111111111111
Glacier-Fog4=111111111111111111111111111
Glacier-Fog5=111111111111111111111111110
Glacier-Fog6=111111111111111111111111110
Glacier-Fog7=000111111100011111111111110
Glacier-Fog8=000000000000000111111111110
Glacier-Fog9=000000000000000000011111100
Glacier-FogRevealPercentage=77
Gryphon-Fog0=1111111111111111110
Gryphon-Fog1=1111111111111111110
Gryphon-Fog10=0000000011111100000
Gryphon-Fog2=1111111111111111110
Gryphon-Fog3=1111111111111111110
Gryphon-Fog4=1111111111111111110
Gryphon-Fog5=1111111111111111110
Gryphon-Fog6=1111111111111111110
Gryphon-Fog7=1111111111111111110
Gryphon-Fog8=0000000111111111100
Gryphon-Fog9=0000000011111110000
Gryphon-FogRevealPercentage=79
Ice Caves-Fog0=111111111111111111111111111
Ice Caves-Fog1=111111111111111111111111111
Ice Caves-Fog10=001110001111111111111001110
Ice Caves-Fog2=111111111111111111111111111
Ice Caves-Fog3=111111111111111111111111111
Ice Caves-Fog4=111111111111111111111111111
Ice Caves-Fog5=111111111111111111111111111
Ice Caves-Fog6=111111111111111111111111111
Ice Caves-Fog7=111111111111111111111111111
Ice Caves-Fog8=111111111111111111111111111
Ice Caves-Fog9=111111111111111111111111111
Ice Caves-FogRevealPercentage=97
ItemStorage10Class=HDFirearm
ItemStorage10Count=13
ItemStorage10Preset=Pulse Rifle
ItemStorage11Class=HDFirearm
ItemStorage11Count=1
ItemStorage11Preset=RPG-7
ItemStorage12Class=HDFirearm
ItemStorage12Count=1
ItemStorage12Preset=Tesla Rifle
ItemStorage13Class=HDFirearm
ItemStorage13Count=3
ItemStorage13Preset=XM-10 Submachine Gun
ItemStorage14Class=HDFirearm
ItemStorage14Count=12
ItemStorage14Preset=XM-11 Machine Gun
ItemStorage15Class=TDExplosive
ItemStorage15Count=11
ItemStorage15Preset=XM-14 Wormhole Grenade
ItemStorage16Class=HDFirearm
ItemStorage16Count=4
ItemStorage16Preset=XM-2 Pistol
ItemStorage17Class=HDFirearm
ItemStorage17Count=6
ItemStorage17Preset=XM-92B Heavy Sniper
ItemStorage1Class=HDFirearm
ItemStorage1Count=4
ItemStorage1Preset=Assault Rifle
ItemStorage2Class=HDFirearm
ItemStorage2Count=3
ItemStorage2Preset=Giga Pulsar
ItemStorage3Class=HDFirearm
ItemStorage3Count=22
ItemStorage3Preset=Heavy Digger
ItemStorage4Class=HDFirearm
ItemStorage4Count=3
ItemStorage4Preset=Heavy Scanner
ItemStorage5Class=HDFirearm
ItemStorage5Count=2
ItemStorage5Preset=IN-02 Backblast
ItemStorage6Class=HDFirearm
ItemStorage6Count=4
ItemStorage6Preset=M16
ItemStorage7Class=HDFirearm
ItemStorage7Count=1
ItemStorage7Preset=M60
ItemStorage8Class=HDFirearm
ItemStorage8Count=4
ItemStorage8Preset=Mauler SG-23
ItemStorage9Class=HDFirearm
ItemStorage9Count=5
ItemStorage9Preset=Nucleo Swarm
Ketanot Hills-Fog0=11111111111111111111111110
Ketanot Hills-Fog1=11111111111111111111111110
Ketanot Hills-Fog10=11111111111100111111111110
Ketanot Hills-Fog2=11111111111111111111111110
Ketanot Hills-Fog3=11111111111111111111111110
Ketanot Hills-Fog4=11111111111111111111111110
Ketanot Hills-Fog5=11111111111111111111111110
Ketanot Hills-Fog6=11111111111111111111111110
Ketanot Hills-Fog7=11111111111111111111111110
Ketanot Hills-Fog8=11111111111111111111111110
Ketanot Hills-Fog9=11111111111111111111111110
Ketanot Hills-FogRevealPercentage=95
Location=Vesod Plains
Metankora Highlands-Fog0=1111111111111111111111111111
Metankora Highlands-Fog1=1111111111111111111111111111
Metankora Highlands-Fog10=0000000000000000000000000000
Metankora Highlands-Fog2=1111111111111111111111111111
Metankora Highlands-Fog3=1111111111111111111111111111
Metankora Highlands-Fog4=1111111111111111111111111111
Metankora Highlands-Fog5=1111111111111111111111111111
Metankora Highlands-Fog6=1111111100000111111111111111
Metankora Highlands-Fog7=1111000000000011111111111111
Metankora Highlands-Fog8=0000000000000000000011111111
Metankora Highlands-Fog9=0000000000000000000001111110
Mission1Difficulty=1
Mission1Location=Vesod Plains
Mission1SourcePlayer=7
Mission1TargetPlayer=2
Mission1Type=Defend
Mission2Difficulty=3
Mission2Location=Craters
Mission2SourcePlayer=8
Mission2TargetPlayer=4
Mission2Type=Assault
Mission3Difficulty=3
Mission3Location=Cold Slabs
Mission3SourcePlayer=1
Mission3TargetPlayer=5
Mission3Type=Zombies
Mission4Difficulty=3
Mission4Location=Summit
Mission4SourcePlayer=1
Mission4TargetPlayer=2
Mission4Type=Defend
Mission5Difficulty=1
Mission5Location=Gryphon
Mission5SourcePlayer=6
Mission5TargetPlayer=3
Mission5Type=Assault
MissionDifficultyBonus=0
MissionReport1=MISSION COMPLETED
MissionReport2=3120oz of gold received
MissionReport3=+516 Techion reputation
MissionReport4=-852 Dummy reputation
MissionReport5=NO CASUALTIES
MissionReport6=2 items collected
Mode=Vessel
Mt. Imdunt-Fog0=1111111111111111111111111111111111
Mt. Imdunt-Fog1=1111111111111111111111111111111111
Mt. Imdunt-Fog10=0000000000111111111111111111111111
Mt. Imdunt-Fog11=0000000000011111111111111111111111
Mt. Imdunt-Fog12=0000000000000000011111111111111111
Mt. Imdunt-Fog13=0000000000000000001111111110000000
Mt. Imdunt-Fog14=0000000000000000001111111000000000
Mt. Imdunt-Fog15=0000000000000000000000000000000000
Mt. Imdunt-Fog2=1111111111111111111111111111111111
Mt. Imdunt-Fog3=1111111111111111111111111111111111
Mt. Imdunt-Fog4=1111111111111111111111111111111111
Mt. Imdunt-Fog5=1111111111111111111111111111111111
Mt. Imdunt-Fog6=1111111001111111111111111111111111
Mt. Imdunt-Fog7=1111110000111111111111111111111111
Mt. Imdunt-Fog8=1110000000111111111111111111111111
Mt. Imdunt-Fog9=1100000000111111111111111111111111
Mt. Imdunt-FogRevealPercentage=73
NegativeIndex=1
Office-Fog0=1111111111111111110
Office-Fog1=1111111111111111110
Office-Fog10=1111111111111111110
Office-Fog2=1111111111111111110
Office-Fog3=1111111111111111110
Office-Fog4=1111111111111111110
Office-Fog5=1111111111111111110
Office-Fog6=1111111111111111110
Office-Fog7=1111111111111111110
Office-Fog8=1111111111111111110
Office-Fog9=1111111111111111110
Office-FogRevealPercentage=94
Planet=CC-11Y
Player0Active=True
Player0Faction=Techion
Player0Gold=12059
Player0Type=Player
Player0Vessel=Gryphon
Player0VesselClonesCapacity=20
Player0VesselCommunication=8
Player0VesselLifeSupport=8
Player0VesselSpeed=40
Player0VesselStorageCapacity=140
Player1Active=True
Player1Faction=Techion
Player1Preset10Actor=1
Player1Preset10Faction=Techion
Player1Preset10Item1=10
Player1Preset10Item2=16
Player1Preset10Item3=16
Player1Preset10ItemFaction1=Techion
Player1Preset10ItemFaction2=Techion
Player1Preset10ItemFaction3=Techion
Player1Preset1Actor=1
Player1Preset1Faction=Techion
Player1Preset1Item1=10
Player1Preset1Item2=9
Player1Preset1Item3=16
Player1Preset1ItemFaction1=Techion
Player1Preset1ItemFaction2=Techion
Player1Preset1ItemFaction3=Techion
Player1Preset2Actor=2
Player1Preset2Faction=Techion
Player1Preset2Item1=10
Player1Preset2Item2=9
Player1Preset2Item3=16
Player1Preset2ItemFaction1=Techion
Player1Preset2ItemFaction2=Techion
Player1Preset2ItemFaction3=Techion
Player1Preset3Actor=1
Player1Preset3Faction=Techion
Player1Preset3Item1=12
Player1Preset3Item2=9
Player1Preset3Item3=16
Player1Preset3ItemFaction1=Techion
Player1Preset3ItemFaction2=Techion
Player1Preset3ItemFaction3=Techion
Player1Preset4Actor=2
Player1Preset4Faction=Techion
Player1Preset4Item1=10
Player1Preset4Item2=16
Player1Preset4Item3=16
Player1Preset4ItemFaction1=Techion
Player1Preset4ItemFaction2=Techion
Player1Preset4ItemFaction3=Techion
Player1Preset5Actor=2
Player1Preset5Faction=Techion
Player1Preset5Item1=13
Player1Preset5Item2=10
Player1Preset5Item3=16
Player1Preset5ItemFaction1=Techion
Player1Preset5ItemFaction2=Techion
Player1Preset5ItemFaction3=Techion
Player1Preset6Actor=2
Player1Preset6Faction=Techion
Player1Preset6Item1=13
Player1Preset6Item2=16
Player1Preset6Item3=16
Player1Preset6ItemFaction1=Techion
Player1Preset6ItemFaction2=Techion
Player1Preset6ItemFaction3=Techion
Player1Preset7Actor=3
Player1Preset7Faction=Techion
Player1Preset7Item1=10
Player1Preset7Item2=9
Player1Preset7ItemFaction1=Techion
Player1Preset7ItemFaction2=Techion
Player1Preset8Actor=2
Player1Preset8Faction=Techion
Player1Preset8Item1=4
Player1Preset8Item2=9
Player1Preset8Item3=16
Player1Preset8ItemFaction1=Techion
Player1Preset8ItemFaction2=Techion
Player1Preset8ItemFaction3=Techion
Player1Preset9Actor=1
Player1Preset9Faction=Techion
Player1Preset9Item1=3
Player1Preset9Item2=10
Player1Preset9ItemFaction1=Techion
Player1Preset9ItemFaction2=Techion
Player1Reputation=4333
Player1Type=CPU
Player2Active=True
Player2Faction=Browncoats
Player2Preset10Actor=1
Player2Preset10Faction=Browncoats
Player2Preset10Item1=11
Player2Preset10Item2=9
Player2Preset10Item3=10
Player2Preset10ItemFaction1=Browncoats
Player2Preset10ItemFaction2=Browncoats
Player2Preset10ItemFaction3=Browncoats
Player2Preset1Actor=1
Player2Preset1Faction=Browncoats
Player2Preset1Item1=11
Player2Preset1Item2=8
Player2Preset1Item3=9
Player2Preset1ItemFaction1=Browncoats
Player2Preset1ItemFaction2=Browncoats
Player2Preset1ItemFaction3=Browncoats
Player2Preset2Actor=1
Player2Preset2Faction=Browncoats
Player2Preset2Item1=11
Player2Preset2Item2=8
Player2Preset2Item3=10
Player2Preset2ItemFaction1=Browncoats
Player2Preset2ItemFaction2=Browncoats
Player2Preset2ItemFaction3=Browncoats
Player2Preset3Actor=1
Player2Preset3Faction=Browncoats
Player2Preset3Item1=11
Player2Preset3Item2=8
Player2Preset3Item3=10
Player2Preset3ItemFaction1=Browncoats
Player2Preset3ItemFaction2=Browncoats
Player2Preset3ItemFaction3=Browncoats
Player2Preset4Actor=1
Player2Preset4Faction=Browncoats
Player2Preset4Item1=11
Player2Preset4Item2=9
Player2Preset4Item3=9
Player2Preset4ItemFaction1=Browncoats
Player2Preset4ItemFaction2=Browncoats
Player2Preset4ItemFaction3=Browncoats
Player2Preset5Actor=1
Player2Preset5Faction=Browncoats
Player2Preset5Item1=11
Player2Preset5Item2=11
Player2Preset5Item3=9
Player2Preset5ItemFaction1=Browncoats
Player2Preset5ItemFaction2=Browncoats
Player2Preset5ItemFaction3=Browncoats
Player2Preset6Actor=1
Player2Preset6Faction=Browncoats
Player2Preset6Item1=11
Player2Preset6Item2=9
Player2Preset6Item3=10
Player2Preset6ItemFaction1=Browncoats
Player2Preset6ItemFaction2=Browncoats
Player2Preset6ItemFaction3=Browncoats
Player2Preset7Actor=3
Player2Preset7Faction=Browncoats
Player2Preset7Item1=11
Player2Preset7Item2=8
Player2Preset7Item3=9
Player2Preset7ItemFaction1=Browncoats
Player2Preset7ItemFaction2=Browncoats
Player2Preset7ItemFaction3=Browncoats
Player2Preset8Actor=1
Player2Preset8Faction=Browncoats
Player2Preset8Item1=4
Player2Preset8Item2=8
Player2Preset8Item3=10
Player2Preset8ItemFaction1=Browncoats
Player2Preset8ItemFaction2=Browncoats
Player2Preset8ItemFaction3=Browncoats
Player2Preset9Actor=1
Player2Preset9Faction=Browncoats
Player2Preset9Item1=2
Player2Preset9Item2=11
Player2Preset9ItemFaction1=Browncoats
Player2Preset9ItemFaction2=Browncoats
Player2Reputation=-1486
Player2Type=CPU
Player3Active=True
Player3Faction=Ronin
Player3Preset10Actor=1
Player3Preset10Faction=Ronin
Player3Preset10Item1=17
Player3Preset10Item2=13
Player3Preset10Item3=11
Player3Preset10ItemFaction1=Ronin
Player3Preset10ItemFaction2=Ronin
Player3Preset10ItemFaction3=Ronin
Player3Preset1Actor=1
Player3Preset1Faction=Ronin
Player3Preset1Item1=19
Player3Preset1Item2=14
Player3Preset1Item3=13
Player3Preset1ItemFaction1=Ronin
Player3Preset1ItemFaction2=Ronin
Player3Preset1ItemFaction3=Ronin
Player3Preset2Actor=2
Player3Preset2Faction=Ronin
Player3Preset2Item1=19
Player3Preset2Item2=15
Player3Preset2Item3=13
Player3Preset2ItemFaction1=Ronin
Player3Preset2ItemFaction2=Ronin
Player3Preset2ItemFaction3=Ronin
Player3Preset3Actor=1
Player3Preset3Faction=Ronin
Player3Preset3Item1=19
Player3Preset3Item2=14
Player3Preset3Item3=11
Player3Preset3ItemFaction1=Ronin
Player3Preset3ItemFaction2=Ronin
Player3Preset3ItemFaction3=Ronin
Player3Preset4Actor=2
Player3Preset4Faction=Ronin
Player3Preset4Item1=18
Player3Preset4Item2=13
Player3Preset4Item3=13
Player3Preset4ItemFaction1=Ronin
Player3Preset4ItemFaction2=Ronin
Player3Preset4ItemFaction3=Ronin
Player3Preset5Actor=2
Player3Preset5Faction=Ronin
Player3Preset5Item1=19
Player3Preset5Item2=19
Player3Preset5Item3=13
Player3Preset5ItemFaction1=Ronin
Player3Preset5ItemFaction2=Ronin
Player3Preset5ItemFaction3=Ronin
Player3Preset6Actor=2
Player3Preset6Faction=Ronin
Player3Preset6Item1=19
Player3Preset6Item2=11
Player3Preset6Item3=11
Player3Preset6ItemFaction1=Ronin
Player3Preset6ItemFaction2=Ronin
Player3Preset6ItemFaction3=Ronin
Player3Preset7Actor=3
Player3Preset7Faction=Ronin
Player3Preset7Item1=19
Player3Preset7Item2=10
Player3Preset7Item3=13
Player3Preset7ItemFaction1=Ronin
Player3Preset7ItemFaction2=Ronin
Player3Preset7ItemFaction3=Ronin
Player3Preset8Actor=2
Player3Preset8Faction=Ronin
Player3Preset8Item1=4
Player3Preset8Item2=14
Player3Preset8Item3=13
Player3Preset8ItemFaction1=Ronin
Player3Preset8ItemFaction2=Ronin
Player3Preset8ItemFaction3=Ronin
Player3Preset9Actor=1
Player3Preset9Faction=Ronin
Player3Preset9Item1=2
Player3Preset9Item2=19
Player3Preset9ItemFaction1=Ronin
Player3Preset9ItemFaction2=Ronin
Player3Reputation=-2522
Player3Type=CPU
Player4Active=True
Player4Faction=Dummy
Player4Preset10Actor=1
Player4Preset10Faction=Dummy
Player4Preset10Item1=13
Player4Preset10Item2=14
Player4Preset10Item3=12
Player4Preset10ItemFaction1=Dummy
Player4Preset10ItemFaction2=Dummy
Player4Preset10ItemFaction3=Dummy
Player4Preset1Actor=1
Player4Preset1Faction=Dummy
Player4Preset1Item1=15
Player4Preset1Item2=9
Player4Preset1Item3=14
Player4Preset1ItemFaction1=Dummy
Player4Preset1ItemFaction2=Dummy
Player4Preset1ItemFaction3=Dummy
Player4Preset2Actor=1
Player4Preset2Faction=Dummy
Player4Preset2Item1=15
Player4Preset2Item2=9
Player4Preset2Item3=14
Player4Preset2ItemFaction1=Dummy
Player4Preset2ItemFaction2=Dummy
Player4Preset2ItemFaction3=Dummy
Player4Preset3Actor=1
Player4Preset3Faction=Dummy
Player4Preset3Item1=16
Player4Preset3Item2=10
Player4Preset3Item3=14
Player4Preset3ItemFaction1=Dummy
Player4Preset3ItemFaction2=Dummy
Player4Preset3ItemFaction3=Dummy
Player4Preset4Actor=1
Player4Preset4Faction=Dummy
Player4Preset4Item1=13
Player4Preset4Item2=14
Player4Preset4Item3=12
Player4Preset4ItemFaction1=Dummy
Player4Preset4ItemFaction2=Dummy
Player4Preset4ItemFaction3=Dummy
Player4Preset5Actor=1
Player4Preset5Faction=Dummy
Player4Preset5Item1=19
Player4Preset5Item2=15
Player4Preset5Item3=12
Player4Preset5ItemFaction1=Dummy
Player4Preset5ItemFaction2=Dummy
Player4Preset5ItemFaction3=Dummy
Player4Preset6Actor=1
Player4Preset6Faction=Dummy
Player4Preset6Item1=17
Player4Preset6Item2=14
Player4Preset6Item3=14
Player4Preset6ItemFaction1=Dummy
Player4Preset6ItemFaction2=Dummy
Player4Preset6ItemFaction3=Dummy
Player4Preset7Actor=4
Player4Preset7Faction=Dummy
Player4Preset7Item1=13
Player4Preset7Item2=9
Player4Preset7ItemFaction1=Dummy
Player4Preset7ItemFaction2=Dummy
Player4Preset8Actor=1
Player4Preset8Faction=Dummy
Player4Preset8Item1=4
Player4Preset8Item2=9
Player4Preset8Item3=14
Player4Preset8ItemFaction1=Dummy
Player4Preset8ItemFaction2=Dummy
Player4Preset8ItemFaction3=Dummy
Player4Preset9Actor=1
Player4Preset9Faction=Dummy
Player4Preset9Item1=3
Player4Preset9Item2=15
Player4Preset9ItemFaction1=Dummy
Player4Preset9ItemFaction2=Dummy
Player4Reputation=-2058
Player4Type=CPU
Player5Active=True
Player5Faction=Coalition
Player5Preset10Actor=1
Player5Preset10Faction=Coalition
Player5Preset10Item1=18
Player5Preset10Item2=13
Player5Preset10Item3=14
Player5Preset10ItemFaction1=Coalition
Player5Preset10ItemFaction2=Coalition
